Time,Signal strength (dBm)
0.103933,-29 dBm
0.411057,-31 dBm
0.718747,-30 dBm
1.025393,-34 dBm
1.332961,-39 dBm
1.639838,-45 dBm
1.94753,-44 dBm
2.561528,-40 dBm
2.868201,-43 dBm
3.175779,-40 dBm
3.483039,0 dBm
3.790688,-42 dBm
4.097535,-43 dBm
4.404733,-44 dBm
4.711789,-41 dBm
5.018977,-36 dBm
5.326083,-35 dBm
5.63349,-37 dBm
5.940496,-36 dBm
6.247756,-30 dBm
6.554912,-29 dBm
6.862282,-30 dBm
7.169799,-29 dBm
7.477062,-28 dBm
7.78357,-29 dBm
8.090862,-29 dBm
8.398281,-29 dBm
9.012237,-30 dBm
9.62705,-32 dBm
9.934499,-31 dBm
10.24147,-31 dBm
10.548445,-28 dBm
10.855845,-32 dBm
11.470252,-39 dBm
11.777411,-34 dBm
12.084444,-36 dBm
12.393112,-41 dBm
12.698987,-42 dBm
13.620455,-45 dBm
13.927779,-46 dBm
14.234924,-41 dBm
14.542339,-43 dBm
14.84882,-43 dBm
15.156368,-40 dBm
15.46403,-40 dBm
15.770975,-35 dBm
16.077955,-36 dBm
16.385124,-34 dBm
16.692492,-29 dBm
16.999648,-31 dBm
17.30732,-30 dBm
17.613974,-32 dBm
18.228503,-30 dBm
18.535425,-30 dBm
19.150012,-30 dBm
19.457553,-29 dBm
19.764489,-30 dBm
20.072041,-28 dBm
20.378859,-31 dBm
20.685897,-36 dBm
20.993634,-36 dBm
21.299825,-43 dBm
21.607508,-43 dBm
21.915186,-43 dBm
22.222015,-45 dBm
22.529251,-44 dBm
22.836329,-47 dBm
23.143537,-47 dBm
23.450745,-50 dBm
23.758044,-52 dBm
24.065491,-50 dBm
24.372391,-46 dBm
24.679421,-41 dBm
25.601055,-35 dBm
26.215479,-37 dBm
26.829871,-29 dBm
27.1369,-28 dBm
27.444642,-31 dBm
27.751593,-32 dBm
28.059046,-31 dBm
28.365858,-32 dBm
28.673046,-31 dBm
28.980641,-31 dBm
29.287832,-32 dBm
29.595121,-32 dBm
29.90381,-30 dBm
30.209002,-32 dBm
30.516697,-31 dBm
30.823397,-30 dBm
31.130515,-32 dBm
31.438285,-33 dBm
31.744912,-40 dBm
32.052279,-38 dBm
32.359433,-47 dBm
32.666509,-44 dBm
32.974281,-42 dBm
33.280974,-44 dBm
33.588634,-46 dBm
33.895468,-47 dBm
34.202612,0 dBm
34.816974,-50 dBm
35.124268,-46 dBm
35.431425,-44 dBm
35.738488,-38 dBm
36.045323,-35 dBm
36.352948,-38 dBm
36.659964,-35 dBm
36.96745,-33 dBm
37.274425,-31 dBm
37.582187,-31 dBm
37.888913,-32 dBm
38.19603,-33 dBm
38.503804,-32 dBm
38.810503,-32 dBm
39.117728,-32 dBm
39.426805,-31 dBm
39.732038,-33 dBm
40.039788,-34 dBm
40.346592,-31 dBm
40.65358,-30 dBm
40.961362,-32 dBm
41.267903,-35 dBm
41.575743,-42 dBm
42.189665,-44 dBm
42.804149,-48 dBm
43.111704,-51 dBm
43.41841,-43 dBm
43.725436,-38 dBm
44.03284,-41 dBm
44.340047,-37 dBm
44.647233,-35 dBm
44.954871,-37 dBm
45.261604,-37 dBm
45.569269,-30 dBm
45.875909,-31 dBm
46.490866,-31 dBm
46.797489,-31 dBm
47.105264,-32 dBm
47.411465,-29 dBm
47.718769,-31 dBm
48.026395,-31 dBm
48.333454,-31 dBm
48.641146,-36 dBm
48.94808,-34 dBm
49.255085,-32 dBm
49.562824,0 dBm
49.868988,-31 dBm
50.176867,-31 dBm
50.484426,-31 dBm
51.098798,-31 dBm
51.405403,-34 dBm
51.712712,-42 dBm
52.01997,-49 dBm
52.327004,-48 dBm
52.634312,-41 dBm
52.941941,-42 dBm
53.2486,-43 dBm
53.556387,-49 dBm
53.862905,-51 dBm
54.170653,-52 dBm
54.477892,-44 dBm
54.784659,-40 dBm
55.091869,-43 dBm
55.398889,-36 dBm
55.706726,-37 dBm
56.013831,-39 dBm
56.320572,-33 dBm
56.628346,-30 dBm
56.935062,-30 dBm
57.242166,0 dBm
57.549911,-31 dBm
57.856459,-31 dBm
58.471128,-30 dBm
58.778141,-30 dBm
59.392537,-30 dBm
59.700256,-31 dBm
60.007473,-30 dBm
60.621195,-30 dBm
60.92873,-30 dBm
61.236141,-33 dBm
61.543086,-30 dBm
61.850157,-32 dBm
62.157821,-38 dBm
62.46504,-45 dBm
63.078984,-51 dBm
63.386039,-44 dBm
63.693455,-42 dBm
64.001016,-46 dBm
64.307663,-46 dBm
64.615377,-48 dBm
64.922062,0 dBm
65.229407,-51 dBm
65.536974,-41 dBm
65.843569,-40 dBm
66.151376,-41 dBm
66.458238,-35 dBm
66.766659,-38 dBm
67.072365,-36 dBm
67.686994,-31 dBm
68.301245,-30 dBm
68.608451,-30 dBm
68.915627,-30 dBm
