Time,Signal strength (dBm)
0.238871,-36 dBm
0.545686,-36 dBm
0.853272,-34 dBm
1.160462,-36 dBm
1.467645,-37 dBm
2.388962,-34 dBm
2.695956,-34 dBm
3.003016,-34 dBm
3.310835,-34 dBm
3.618038,-34 dBm
3.925235,-34 dBm
4.232428,-35 dBm
4.539052,-36 dBm
4.846384,-35 dBm
5.153633,-36 dBm
5.460749,-35 dBm
5.767947,-34 dBm
6.075104,-34 dBm
6.382433,-35 dBm
6.996833,-35 dBm
7.304031,-34 dBm
7.611131,-35 dBm
7.918749,-34 dBm
8.227169,-35 dBm
8.532527,-35 dBm
8.839353,-34 dBm
9.14717,-35 dBm
9.454718,-34 dBm
9.761817,-35 dBm
10.068587,-35 dBm
10.375943,-35 dBm
10.990718,-35 dBm
11.297445,-36 dBm
11.604554,-35 dBm
11.912301,-34 dBm
12.219132,-35 dBm
12.52632,-34 dBm
12.833519,-32 dBm
13.14047,-35 dBm
13.44827,-34 dBm
13.75533,-34 dBm
14.062148,-34 dBm
14.369485,0 dBm
14.676555,-36 dBm
14.984157,-35 dBm
15.29145,-35 dBm
15.598082,-35 dBm
15.905179,-36 dBm
16.520222,-33 dBm
16.826953,-34 dBm
17.133971,-34 dBm
17.441377,-34 dBm
18.05622,-33 dBm
18.670308,-34 dBm
18.977441,-36 dBm
19.284971,-35 dBm
19.899055,-33 dBm
20.206072,-35 dBm
20.513775,-35 dBm
20.820388,-33 dBm
21.127532,-34 dBm
21.434911,-35 dBm
21.742228,-34 dBm
22.049737,0 dBm
22.356589,-35 dBm
22.663484,-35 dBm
22.970881,-35 dBm
23.278174,-36 dBm
23.585391,-34 dBm
23.89277,-35 dBm
24.19973,-35 dBm
24.507217,-35 dBm
24.813935,-36 dBm
25.121068,-34 dBm
25.428866,-36 dBm
25.735723,-35 dBm
26.043181,-35 dBm
26.350034,-35 dBm
26.657883,-33 dBm
26.964522,-36 dBm
27.271696,-36 dBm
27.579256,-34 dBm
27.886103,-36 dBm
28.193167,-35 dBm
28.500854,-35 dBm
28.807629,-35 dBm
29.114713,-35 dBm
29.422431,-34 dBm
30.036811,-35 dBm
30.344822,-35 dBm
30.65068,-35 dBm
30.958093,-35 dBm
31.265032,-35 dBm
31.572805,-35 dBm
31.879643,-35 dBm
32.186815,-37 dBm
32.494327,-36 dBm
32.801151,-35 dBm
33.10846,-35 dBm
33.415952,-37 dBm
33.722642,-37 dBm
34.030361,-36 dBm
34.337113,-36 dBm
34.64424,-35 dBm
35.565901,-35 dBm
35.873186,-35 dBm
36.487952,-35 dBm
36.794625,-35 dBm
37.102322,-36 dBm
37.409508,0 dBm
38.02381,-34 dBm
38.330581,-34 dBm
38.638313,-32 dBm
38.945507,-36 dBm
39.252192,-34 dBm
39.559875,-34 dBm
39.866689,-34 dBm
40.173726,-36 dBm
40.481455,-35 dBm
40.788075,-36 dBm
41.09538,-35 dBm
41.403022,-35 dBm
41.709752,-36 dBm
42.017082,-34 dBm
42.324161,-35 dBm
42.631838,-36 dBm
42.939027,-36 dBm
43.245571,-34 dBm
43.553432,-36 dBm
44.167355,-35 dBm
44.474533,-35 dBm
44.781729,-34 dBm
45.089398,0 dBm
45.396248,-35 dBm
45.703253,-35 dBm
46.010989,-34 dBm
46.317861,-35 dBm
46.625303,-36 dBm
46.93223,-35 dBm
47.546477,-36 dBm
47.853792,-34 dBm
48.161351,-35 dBm
48.468541,-35 dBm
48.7752,-37 dBm
49.082942,-35 dBm
49.389769,-34 dBm
49.696847,-37 dBm
50.004423,-37 dBm
50.311236,-35 dBm
50.619283,-36 dBm
50.926091,-36 dBm
51.23278,-35 dBm
51.540496,-34 dBm
51.847155,-34 dBm
52.154899,-35 dBm
52.461722,-34 dBm
53.076022,-33 dBm
53.383473,-34 dBm
53.690411,-34 dBm
53.997614,-33 dBm
54.304631,-34 dBm
54.612096,-35 dBm
54.919286,-35 dBm
55.226239,-35 dBm
55.53405,-35 dBm
55.840714,-36 dBm
56.147643,-35 dBm
56.455596,-35 dBm
57.070016,-35 dBm
57.376671,-36 dBm
57.683613,-34 dBm
57.991605,-33 dBm
58.298171,-34 dBm
58.604886,-35 dBm
58.912794,-35 dBm
59.220302,-35 dBm
59.527576,-36 dBm
59.834292,-34 dBm
60.141999,-35 dBm
60.75602,-35 dBm
61.063197,-35 dBm
61.370266,-33 dBm
61.677977,-34 dBm
61.985092,-34 dBm
62.291803,-35 dBm
62.599195,-34 dBm
62.906265,-33 dBm
63.213465,-36 dBm
63.521128,-35 dBm
63.82769,-36 dBm
64.135222,-34 dBm
64.442325,-36 dBm
64.74993,-34 dBm
65.057116,-34 dBm
65.363765,-34 dBm
65.6715,-34 dBm
65.978666,-33 dBm
66.285215,-33 dBm
66.592654,-34 dBm
66.899803,-35 dBm
67.207458,-34 dBm
67.514637,-34 dBm
67.821328,-34 dBm
68.128954,0 dBm
68.435885,-34 dBm
68.743022,-34 dBm
69.050198,-34 dBm
69.664956,-36 dBm
69.971853,-35 dBm
70.279097,-34 dBm
70.58618,-35 dBm
70.893423,-34 dBm
71.200912,-35 dBm
71.5082,-34 dBm
71.814859,-34 dBm
72.122511,-33 dBm
72.429477,-34 dBm
72.736609,-35 dBm
73.044186,-35 dBm
73.35085,-36 dBm
73.65859,-34 dBm
73.96577,-35 dBm
74.272535,-35 dBm
74.579664,-37 dBm
74.886872,-35 dBm
75.194422,-36 dBm
75.501278,-34 dBm
75.808436,0 dBm
76.11579,-34 dBm
76.422711,-36 dBm
76.730519,-35 dBm
77.344461,-35 dBm
77.65161,-35 dBm
77.958838,-36 dBm
78.266514,-36 dBm
78.573701,-33 dBm
78.880429,-35 dBm
79.187542,-34 dBm
79.494948,-34 dBm
79.802009,-36 dBm
80.10921,-34 dBm
80.724094,-33 dBm
81.030278,-35 dBm
81.337943,-34 dBm
81.645251,-34 dBm
81.952348,-34 dBm
82.25922,-34 dBm
82.566516,-35 dBm
82.873888,-35 dBm
83.181207,-36 dBm
83.795273,-34 dBm
84.10317,-35 dBm
84.409872,-34 dBm
84.717563,-35 dBm
85.024411,-34 dBm
85.331593,-35 dBm
85.639096,-35 dBm
86.253577,-35 dBm
86.560419,-35 dBm
86.867436,-34 dBm
87.174862,-34 dBm
87.481864,-36 dBm
87.789463,-35 dBm
88.096273,-36 dBm
88.403387,-36 dBm
88.711207,-35 dBm
89.017857,-34 dBm
89.325167,-35 dBm
89.632277,-35 dBm
89.939277,-37 dBm
90.24714,-35 dBm
90.553977,-35 dBm
90.861045,-34 dBm
91.168711,0 dBm
91.475334,-34 dBm
91.783094,-33 dBm
92.090137,-33 dBm
92.396973,-34 dBm
92.704325,-34 dBm
93.011332,-34 dBm
93.318476,-34 dBm
93.933088,-33 dBm
94.241364,-33 dBm
94.549186,-34 dBm
94.854657,-34 dBm
95.162152,-34 dBm
95.468918,-33 dBm
95.776165,-34 dBm
96.083852,-34 dBm
96.390516,-35 dBm
96.698235,-36 dBm
97.004925,-34 dBm
97.312421,-34 dBm
97.619428,-35 dBm
97.926465,-35 dBm
98.23419,-36 dBm
98.540852,-35 dBm
98.848031,0 dBm
99.462572,-34 dBm
99.769813,-34 dBm
100.077213,-34 dBm
100.384123,-34 dBm
100.691744,-34 dBm
100.998362,-32 dBm
101.307463,-35 dBm
101.612995,-34 dBm
101.920004,-34 dBm
102.227696,-35 dBm
102.841779,-34 dBm
103.456026,-34 dBm
103.763206,-34 dBm
104.070425,-33 dBm
104.377746,-32 dBm
104.685218,-34 dBm
104.991969,-33 dBm
105.299052,-36 dBm
105.606273,-34 dBm
105.91362,-35 dBm
106.221263,-33 dBm
106.52792,0 dBm
106.83529,-36 dBm
107.14283,-34 dBm
107.44955,-33 dBm
107.757251,-33 dBm
108.063889,-36 dBm
108.371265,-34 dBm
108.678739,-35 dBm
108.985391,-37 dBm
109.293241,-34 dBm
109.599952,-36 dBm
109.906968,-34 dBm
110.521682,-36 dBm
110.828803,-35 dBm
111.136034,-35 dBm
111.750672,-34 dBm
112.057435,-36 dBm
112.364717,-34 dBm
112.672359,-36 dBm
112.978935,-34 dBm
113.286684,-34 dBm
113.593553,-34 dBm
113.900465,-33 dBm
114.208308,0 dBm
114.514981,-33 dBm
114.822333,-35 dBm
115.129562,-36 dBm
115.436994,-34 dBm
115.744307,-34 dBm
116.051037,-34 dBm
116.358333,-34 dBm
116.665507,-33 dBm
116.972756,-34 dBm
117.280312,-36 dBm
117.586958,-37 dBm
117.894309,-35 dBm
118.201733,-36 dBm
118.508446,-35 dBm
118.815774,-36 dBm
119.123007,-35 dBm
119.430678,-35 dBm
119.737493,-36 dBm
120.044492,-35 dBm
120.351907,-35 dBm
120.659086,-35 dBm
120.966195,-35 dBm
121.273836,-37 dBm
121.58044,-35 dBm
121.887859,0 dBm
122.195068,-36 dBm
122.502127,-36 dBm
122.809383,-37 dBm
123.116469,-35 dBm
123.424201,-35 dBm
123.731047,-34 dBm
124.038051,-35 dBm
124.345444,-35 dBm
124.652441,-36 dBm
124.960181,-37 dBm
125.26734,-36 dBm
125.574054,-36 dBm
125.881403,-35 dBm
126.188336,-36 dBm
126.495656,-36 dBm
127.110108,-37 dBm
127.417252,-37 dBm
127.724563,-36 dBm
128.338953,-35 dBm
128.645967,-34 dBm
128.953366,-35 dBm
129.260919,-34 dBm
129.567557,0 dBm
129.874854,-34 dBm
130.181999,-34 dBm
130.489377,-33 dBm
130.796428,-35 dBm
131.103441,-34 dBm
131.41083,-35 dBm
131.718085,-35 dBm
132.025664,-35 dBm
132.332406,-34 dBm
132.639519,-36 dBm
132.947248,-35 dBm
133.254121,-35 dBm
133.561124,-35 dBm
133.868489,-34 dBm
134.175565,-34 dBm
134.482751,-35 dBm
134.790389,-34 dBm
135.097065,-34 dBm
135.404671,-34 dBm
136.018547,-35 dBm
136.633008,-33 dBm
136.940278,-32 dBm
137.247483,0 dBm
137.555086,-33 dBm
137.861911,-32 dBm
138.169049,-34 dBm
138.476787,-33 dBm
138.785084,-35 dBm
139.090619,-33 dBm
139.398216,-34 dBm
139.70515,-36 dBm
140.012759,-35 dBm
